Print/Film,Playing,Format,Minimum Performance Count,Auditorium Size Preference,Expected Demand,Pre-Show Advertising,Trailers,Runtime,Post Clean Time
 Kin ,Clean,2D,2,n/a,n/a,30,20,102,15
 Happytime Murd,Clean,2D,2,n/a,n/a,30,20,91,15
 Alpha ,Clean,2D,2,n/a,n/a,30,20,97,15
